0;R504;Din bil står fortsat i vejkanten med nødblinkene på. Der er meget travlt på R504 foran dig og varmen er ubehagelig.;Med et host og en sprutten går motoren i bilen ud, netop som du skulle til at krydse broen over Dhaleshwari-floden. Du får med nød og næppe styret bilen ud i grøften og læner dig tilbage idet en stor sort røgsky stiger op ad kølerhjelmen. Du ringer efter hjælp, men der er timer til de når herud og du kan ikke bare blive her mens solen bager. Mod syd ser du toppen af nogle hustage, der udgør en mindre landsby.;0;0;0'1,1'1,2'5
1;Sudkhira Landsby;Hovedparten af landsbyboerne er på arbejde, men der kan stadigt høres latter rundt i den lille hyggelige by.;Du nærmer dig landsbyene. På vejen passere du enkelte landsbyboere, der hoster men ellers ser ud til at have det godt. Luften er unaturligt tyk og tung og da du spørger om vej, fortæller en lille pige dig også, at du aldrig må bade i floden - den svir! Du finder ned til landsbyen, får dig noget at drikke fra en venlig lokal og tænker på hvad du dog skal få timerne til at gå med.;0;1,2;1'5
2;Dhaleshwari-floden;Floden er grumset og har et lag af olie og kemikalier der får den til at perle unaturligt i solstrålerne. Når vinden vender, kommer en gennembrorende stank fra den modsatte bred hvor garverierne ligger.;Du følger hovedvejen i landsbyen ned til floden - landsbyen er ikke særligt stor, så det tager dig ikke så lang tid. Da du kommer derned, bliver du ramt af nogle ubehagelige og skarpe dampe og stanke, der tvinger dig til at hoste. Langs flodbreden ligger døde og rådnende fisk og flodvandet selv er grumset. En tyk film af kemikalier flyder med vandet og skinner som olie i solen. Det er første gang du har været så tæt på så store mængder af kemikalsk forurening. På den modsatte bred kan du se store industrielle bygninger og spildevandsafløb der i et væk lukker mere grønt og beskidt vand ud.;0;3,4;3'10
3;Markerne;Du står ved floden mellem Sudkhira Landsby og vej R504. Fra markerne kan du høre de dyre benzindrevne pumper, der nu er behov for for at kunne vande. Langs marken står desuden et højt hegn, så evt. kvæg ikke forvilder sig ned og drikker af floden.;Du følger floden mod strømmen og kommer op til nogle marker. De er hegnet af med store elhegn og en lyd af benzinmotore kommer derinde fra. En landmand står og reparere en del af hegnet og nærved ligger en død ko på flodbrinken. Du spørger ham hvorfor han har sat et så stort elhegn op og han peger på koen og siger: >De dumme kvæg bliver sgu ved med at rende ud og drikke af vandet. De ved ikke bedre.< Han fortsætter: >Nok med at dyrene ikke kan tåle det, men jeg plejede at vande fra floden ad for år tilbage, men nu om tider mister jeg sgu hele høsten hvis jeg forsøger.< Han mumler noget om >De satans garverier< og du ser at der ligger et drænafløb lige ud for hans marker.;0;5,6,7;5'1
4;Lagerhallen;Du træder ind i lagerhallen hvor alt skindet bliver leveret. Lugten fra alt skindet rammer dig som en mur.;Du kigger dig omkring, og kan hundredvis af skind blive læsset af fra vogne. De lokale arbejdere sidder rundt omkring med bunker af skind, og dækker det med et saltlag. I loftet hænger noget som minder om læder af en blålig tone. Det ligger kødrester rundt omkring fra de skind som de har forberedt.;1;8,9;1'1
5;Liming og Soaking;Du træder ind i et rum fyldt med tønder, der alle har en væske i. Du ser forskellige arbejdere dyppe læderet ned i tønderne. Skindet bliver transporteret ind i et andet rum, efter det har været nede i den sidste tønde.;I den ene ende ligger der en masse skind, som minder om det du så inde i lagerhallen. Nogle medarbejdere tager skindet, og renser det i en tønde fyldt med vand. Når vandet kommer op fra tønderne, er det ikke stift mere. En anden medarbejder tager det rene skind og dypper det i en tønde fyldt med noget der ligner kalkvand. Skindet ligger dernede i noget tid, og herefter tager de skindet ind i rummet ved siden af.;1;10,11;1'1
6;Fleshing;Du følger skindet ind til det andet rum, og ser flere arbejdere det nærmest skralder hår og kødrester af skindet. Arbejdere står nærmest på en bunke af vådt hår og kød, som de har skraldet af fra tidligere skind.;I rummet kan man ikke se gulvet for bare hår og kødrester. Arbejderne står med noget der ligner en meget sløv kniv, og skralder alt håret af fra skindets yderside. En af arbejderne vender skindet, og begynder at skrælle alle kød rester af fra kødsiden. En af arbejderne bruger en knogle til det. Kalkvandet har vidst løsning hår og kødrester fra skindet, så det er nemmere at få af. En af arbejderne går rundt og skovler hår og kød op fra gulvet, og samler det i store tønder, og sætter dem op på en vogn;1;12,19,20;1'1
7;Chrom;Du gør igennem en smal og lav dør, men træder kun et lille skridt ind i rummet. Rummet er helt dækket til af en blå masse;Dette rum ser helt blåt ud. Rundt om dig går medarbejdere rundt, også helt blå fra top til tå. Det er i dette rum skindet bliver chrom behandlet. Processen efterlader både rummet og medarbejderne badet ind i kemikalierne;0;15,16;8'1
8;Bating;Da du kommer ind ad døren, ser du med det samme en masse store kar. Disse kar er fyldt med forskellige kemikalier.;Dette er Bating rummet. Her bliver læderet badet i forkslellige blandinger af enzymer, for at blødgøre det. Medarbejderne går rundt med lange gummihandsker, og arbejder med læderet. Du ser en enkelt medarbejder på vej ud af døren mod syd, med en stor tønde;0;17,18;9'1,10'3
9;Dumping;Du træder udenfor, og bliver med det samme ramt af en forfærdenlig lugt. Lugten er så intense at du ikke kan undgå at tage dig til munden, og dækker både din mund og næse til;Udenfor finder du adskillige medarbejdere i fuld gang med at skaffe sig af med de forskellige kemikalier og alt det gamle kød der er blevet fjernet fra skindet. Kemikalierne kan du se bliver hældt direkte i floden, og langs breden ligger kødresterne i store bunker, kun dækket til at stor sværm af fluer.;0;13,14;6'2,7'5
